scenario,attack,defence,intensity,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,fnr_mean,fnr_std,fpr_mean,fpr_std,auc_mean,auc_std,n_seeds
attacked,BAGLFA,,0.0,0.9945263864049689,0.0005247849330175907,0.9988124663750838,0.0010596629306268669,0.9902321155607304,0.0010556489378719944,0.9945032206179757,0.0005269427178206343,0.009767884439269677,0.0010556489378720341,0.0011795578408902991,0.0010521236246457456,0.9989676712834221,7.3098440183474e-05,3
attacked,BOOTLFA,,0.0,0.9945263864049689,0.0005247849330175907,0.9988124663750838,0.0010596629306268669,0.9902321155607304,0.0010556489378719944,0.9945032206179757,0.0005269427178206343,0.009767884439269677,0.0010556489378720341,0.0011795578408902991,0.0010521236246457456,0.9989676712834221,7.3098440183474e-05,3
baseline,,,0.0,0.9945263864049689,0.0005247849330175907,0.9988124663750838,0.0010596629306268669,0.9902321155607304,0.0010556489378719944,0.9945032206179757,0.0005269427178206343,0.009767884439269677,0.0010556489378720341,0.0011795578408902991,0.0010521236246457456,0.9989676712834221,7.3098440183474e-05,3
defended,BAGLFA,BAGKCD,0.0,0.9856840253062256,0.0009607436833977408,1.0,0.0,0.9713712793591459,0.0019024204357451528,0.9854771329582742,0.0009795462334394637,0.028628720640854106,0.001902420435745089,0.0,0.0,0.9979621122533899,0.00116992333939893,3
defended,BOOTLFA,BOOTKCD,0.0,0.9863579365184235,0.0002492135185434972,1.0,0.0,0.9727180807059472,0.0005053013877082564,0.9861703468732571,0.00025968353041446016,0.02728191929405276,0.0005053013877082813,0.0,0.0,0.9979845930042469,0.0011934282120888988,3
